,custAge,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,housing_new,loan_new,contact_new,marital_new,schooling_new,default_new,profession_new,month_new,day_of_week_new,poutcome_new
0,38.0,5,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,1.0,0.0,1.0,2,5,0.0,1,7,1,1
1,40.0,10,999,0,-1.8,93.075,-47.1,1.365,5099.1,999.0,0,0.0,0.0,0.0,2,8,0.0,1,4,1,1
2,31.0,2,999,0,1.4,93.444,-36.1,4.962,5228.1,999.0,0,1.0,0.0,0.0,1,7,0.0,10,8,1,1
3,41.0,7,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,1.0,0.0,1.0,2,8,0.0,4,5,1,1
4,32.0,9,999,0,1.4,93.918,-42.7,4.96,5228.1,999.0,0,1.0,0.0,0.0,2,8,0.0,4,7,2,1
5,40.0,3,999,0,1.4,93.444,-36.1,4.964,5228.1,999.0,0,1.0,0.0,0.0,2,8,0.0,3,8,1,1
6,37.0,2,999,1,-1.8,92.893,-46.2,1.327,5099.1,999.0,0,0.0,1.0,0.0,2,8,0.0,9,5,1,2
7,44.0,1,999,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,1.0,0.0,1.0,3,7,0.0,7,5,1,1
8,44.0,1,999,1,-2.9,92.201,-31.4,0.879,5076.2,999.0,4,0.0,0.0,0.0,2,7,0.0,6,8,1,2
9,25.0,1,999,0,-2.9,92.963,-40.8,1.268,5076.2,999.0,0,0.0,0.0,0.0,2,7,0.0,11,6,1,1
10,56.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,8,0.0,7,5,2,1
11,39.0,2,999,0,1.4,94.465,-41.8,4.947,5228.1,999.0,0,0.0,0.0,1.0,2,8,0.0,9,6,1,1
12,31.0,1,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,1.0,0.0,1.0,2,5,0.0,5,8,1,1
13,31.0,2,999,0,1.4,94.465,-41.8,4.947,5228.1,999.0,0,1.0,0.0,1.0,2,4,0.0,4,6,2,1
14,54.0,1,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,1.0,0.0,2,7,0.0,3,7,1,1
15,49.0,1,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,1.0,0.0,1.0,2,8,0.0,9,5,1,1
16,32.0,1,999,0,-1.7,94.215,-40.3,0.835,4991.6,999.0,0,1.0,1.0,1.0,2,8,0.0,9,7,1,1
17,57.0,3,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,2,0.0,4,5,2,1
18,45.0,1,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0.0,1.0,1.0,2,8,0.0,12,5,1,1
19,31.0,2,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.0,1.0,1.0,2,8,0.0,1,6,1,1
20,35.0,1,999,0,-1.8,93.075,-47.1,1.41,5099.1,999.0,0,1.0,0.0,0.0,1,5,0.0,6,4,1,1
21,50.0,2,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,7,0.0,3,5,1,1
22,22.0,2,999,0,-2.9,92.201,-31.4,0.873,5076.2,999.0,0,1.0,0.0,0.0,1,5,0.0,11,8,1,1
23,29.0,8,999,1,-1.8,92.893,-46.2,1.25,5099.1,999.0,1,1.0,1.0,0.0,1,5,0.0,6,5,1,2
24,31.0,1,999,0,1.4,93.444,-36.1,4.97,5228.1,999.0,0,0.0,0.0,0.0,2,5,0.0,4,8,2,1
25,31.0,2,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,1.0,0.0,2,5,0.0,9,7,1,1
26,35.0,3,999,0,1.1,93.994,-36.4,4.864,5191.0,999.0,0,0.0,0.0,1.0,1,8,0.0,5,5,1,1
27,31.0,3,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.0,0.0,1.0,2,8,0.0,6,5,1,1
28,30.0,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,999.0,0,1.0,0.0,0.0,1,8,0.0,3,5,1,1
29,31.0,2,999,0,-1.8,92.893,-46.2,1.244,5099.1,999.0,0,1.0,0.0,0.0,1,8,0.0,9,5,2,1
30,44.0,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0.0,0.0,0.0,2,8,0.0,4,4,2,1
31,31.0,6,999,0,1.4,93.918,-42.7,4.957,5228.1,999.0,0,1.0,0.0,0.0,1,8,0.0,5,7,1,1
32,31.0,2,999,0,-2.9,92.469,-33.6,1.048,5076.2,999.0,0,0.0,1.0,0.0,1,8,0.0,6,7,2,1
33,39.0,4,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.0,0.0,1.0,2,8,0.0,4,6,1,1
34,46.0,2,999,1,-3.4,92.379,-29.8,0.809,5017.5,999.0,4,1.0,1.0,0.0,2,6,0.0,5,9,1,2
35,31.0,1,999,1,-1.8,92.893,-46.2,1.281,5099.1,999.0,0,0.0,1.0,0.0,2,2,0.0,4,5,1,2
36,41.0,1,999,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,1.0,1.0,1.0,1,3,0.0,6,5,1,1
37,29.0,2,999,1,-3.4,92.649,-30.1,0.719,5017.5,999.0,2,1.0,1.0,0.0,1,6,0.0,5,11,1,2
38,35.0,2,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,0.0,0.0,2,8,0.0,6,7,1,1
39,36.0,3,3,3,-3.4,92.649,-30.1,0.715,5017.5,0.1,9,0.0,1.0,0.0,2,7,0.0,3,11,1,3
40,50.0,7,999,0,1.4,93.918,-42.7,4.963,5228.1,999.0,0,0.0,0.0,0.0,1,8,0.0,9,7,1,1
41,42.0,3,999,1,-1.8,93.075,-47.1,1.405,5099.1,999.0,2,0.0,0.0,0.0,1,5,0.0,9,4,1,2
42,31.0,1,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,1.0,0.0,0.0,1,8,0.0,4,7,1,1
43,32.0,2,999,0,-1.8,92.893,-46.2,1.291,5099.1,999.0,0,1.0,0.0,0.0,1,7,0.0,3,5,1,1
44,46.0,1,999,0,-0.1,93.798,-40.4,5.045,5195.8,999.0,0,1.0,0.0,1.0,3,8,0.0,6,10,1,1
45,31.0,1,999,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0.0,0.0,1.0,3,5,0.0,6,6,1,1
46,31.0,2,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.0,0.0,1.0,1,4,0.0,5,5,2,1
47,29.0,1,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,1.0,0.0,1.0,2,6,0.0,5,5,2,1
48,58.0,1,6,1,-1.1,94.199,-37.5,0.878,4963.6,0.2,2,0.0,0.0,0.0,2,5,0.0,6,9,1,3
49,31.0,6,999,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0.0,0.0,1.0,2,8,0.0,5,6,1,1
50,31.0,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,999.0,0,1.0,0.0,0.0,3,5,0.0,7,5,1,1
51,44.0,1,999,0,-1.8,92.843,-50.0,1.757,5099.1,999.0,0,1.0,1.0,0.0,2,3,0.0,3,3,1,1
52,49.0,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,999.0,0,0.0,0.0,0.0,2,6,0.0,4,5,1,1
53,28.0,2,999,0,-1.8,92.843,-50.0,1.531,5099.1,999.0,0,0.0,0.0,0.0,1,8,0.0,6,3,1,1
54,40.0,1,999,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0.0,0.0,1.0,2,2,0.0,4,5,1,1
55,31.0,1,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0.0,0.0,0.0,2,5,0.0,9,8,1,1
56,50.0,4,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,1.0,0.0,1.0,2,3,0.0,9,5,2,1
57,47.0,1,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,0.0,0.0,1.0,2,3,0.0,4,5,1,1
58,33.0,2,999,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,1.0,0.0,1.0,2,5,0.0,9,5,1,1
59,37.0,1,999,0,1.4,93.918,-42.7,4.957,5228.1,999.0,0,0.0,1.0,0.0,2,8,0.0,6,7,1,1
60,37.0,2,999,0,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0.0,0.0,0.0,3,6,0.0,5,8,1,1
61,32.0,1,999,1,-0.1,93.2,-42.0,4.153,5195.8,999.0,3,0.0,0.0,0.0,3,8,0.0,6,11,1,2
62,33.0,3,999,0,1.4,93.444,-36.1,4.964,5228.1,999.0,0,1.0,0.0,0.0,1,7,0.0,6,8,1,1
63,42.0,4,999,0,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,1.0,1.0,0.0,1,8,0.0,3,6,2,1
64,31.0,2,999,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0.0,0.0,1.0,2,4,0.0,12,5,1,1
65,31.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.0,0.0,1.0,2,5,0.0,9,5,2,1
66,30.0,12,999,0,1.4,93.444,-36.1,4.962,5228.1,999.0,0,1.0,0.0,0.0,1,8,0.0,5,8,1,1
67,36.0,2,999,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,1.0,0.0,1.0,1,7,0.0,4,5,1,1
68,44.0,3,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,0.0,0.0,3,4,0.0,9,7,1,1
69,31.0,1,999,1,-1.8,93.075,-47.1,1.41,5099.1,999.0,2,0.0,0.0,0.0,1,5,0.0,6,4,1,2
70,43.0,4,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,0.0,0.0,1,5,0.0,9,7,1,1
71,31.0,3,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0.0,0.0,0.0,1,5,0.0,5,8,2,1
72,31.0,1,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,1.0,0.0,0.0,3,6,0.0,5,7,1,1
73,31.0,2,999,0,1.4,93.444,-36.1,4.968,5228.1,999.0,0,0.0,1.0,0.0,2,2,0.0,9,8,1,1
74,38.0,1,999,0,-1.8,92.893,-46.2,1.281,5099.1,999.0,0,1.0,0.0,0.0,1,4,0.0,4,5,1,1
75,37.0,4,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,1.0,0.0,0.0,2,8,0.0,5,8,2,1
76,36.0,1,999,0,1.4,94.465,-41.8,4.864,5228.1,999.0,0,0.0,1.0,1.0,2,4,0.0,4,6,1,1
77,32.0,1,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,1.0,0.0,1.0,2,4,0.0,4,5,1,1
78,40.0,1,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.0,0.0,1.0,2,6,0.0,5,5,1,1
79,39.0,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,999.0,0,0.0,0.0,0.0,1,2,0.0,4,5,1,1
80,42.0,4,999,0,-1.8,93.075,-47.1,1.466,5099.1,999.0,0,0.0,0.0,0.0,2,4,0.0,5,4,1,1
81,31.0,4,999,0,1.4,94.465,-41.8,4.962,5228.1,999.0,0,1.0,1.0,1.0,2,5,0.0,9,6,1,1
82,31.0,1,999,1,-1.8,92.893,-46.2,1.244,5099.1,999.0,1,1.0,1.0,0.0,2,7,0.0,6,5,1,2
83,45.0,1,999,0,-1.8,92.893,-46.2,1.313,5099.1,999.0,0,0.0,0.0,0.0,1,8,0.0,5,5,1,1
84,44.0,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,1.0,0.0,0.0,2,6,0.0,3,4,1,1
85,35.0,3,999,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0.0,0.0,1.0,2,4,0.0,7,5,1,1
86,37.0,3,999,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0.0,0.0,1.0,2,3,0.0,4,5,1,1
87,59.0,3,999,0,1.4,94.465,-41.8,4.96,5228.1,999.0,0,1.0,0.0,1.0,2,2,0.0,8,6,2,1
88,57.0,1,999,0,1.4,94.465,-41.8,4.864,5228.1,999.0,0,1.0,0.0,1.0,3,4,0.0,4,6,1,1
89,34.0,2,999,0,-2.9,92.963,-40.8,1.262,5076.2,999.0,0,1.0,0.0,0.0,1,7,0.0,6,6,1,1
90,31.0,2,999,0,1.4,94.465,-41.8,4.864,5228.1,999.0,0,0.0,0.0,1.0,1,7,0.0,5,6,1,1
91,26.0,4,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.0,1.0,1.0,1,8,0.0,9,5,1,1
92,59.0,6,999,0,1.4,93.918,-42.7,4.962,5228.1,999.0,0,1.0,1.0,0.0,3,2,0.0,6,7,2,1
93,55.0,2,999,0,1.4,93.444,-36.1,4.964,5228.1,999.0,0,1.0,0.0,0.0,2,5,0.0,6,8,1,1
94,44.0,3,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.0,0.0,1.0,1,8,0.0,9,6,1,1
95,45.0,2,999,0,-1.7,94.215,-40.3,0.84,4991.6,999.0,0,1.0,0.0,0.0,2,7,0.0,3,7,1,1
96,31.0,1,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0.0,0.0,0.0,2,6,0.0,5,8,2,1
97,31.0,1,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,1.0,0.0,1.0,1,8,0.0,6,5,1,1
98,32.0,10,999,1,-1.8,92.893,-46.2,1.291,5099.1,999.0,2,1.0,0.0,0.0,1,6,0.0,3,5,1,2
99,33.0,14,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,1.0,0.0,0.0,2,6,0.0,5,8,1,1
100,60.0,2,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,1.0,0.0,1.0,2,6,0.0,6,5,2,1
101,31.0,2,999,0,-0.1,93.2,-42.0,4.076,5195.8,999.0,0,0.0,0.0,0.0,2,8,0.0,2,11,1,1
102,59.0,1,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.0,0.0,1.0,1,8,0.0,8,6,1,1
103,38.0,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,1.0,0.0,0.0,2,2,0.0,4,11,2,1
104,48.0,1,999,0,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,0.0,1.0,0.0,2,6,0.0,4,11,1,1
105,66.0,1,999,1,-1.8,93.369,-34.8,0.655,5008.7,999.0,0,0.0,0.0,0.0,2,6,0.0,8,3,1,2
106,31.0,3,999,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0.0,0.0,1.0,1,7,0.0,5,5,1,1
107,40.0,6,999,0,1.4,94.465,-41.8,4.958,5228.1,999.0,0,0.0,0.0,1.0,2,5,0.0,6,6,1,1
108,59.0,2,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0.0,0.0,1.0,2,7,0.0,7,5,1,1
109,48.0,2,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,4,0.0,4,5,2,1
110,33.0,1,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,1.0,0.0,0.0,1,5,0.0,5,8,2,1
111,31.0,1,999,0,1.4,93.444,-36.1,4.962,5228.1,999.0,0,1.0,0.0,0.0,2,6,0.0,9,8,1,1
112,38.0,2,10,1,-1.8,92.843,-50.0,1.726,5099.1,0.333333333333,5,1.0,0.0,0.0,2,6,0.0,5,3,1,3
113,52.0,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,0.0,0.0,0.0,2,5,0.0,9,11,2,1
114,40.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,5,0.0,9,5,1,1
115,31.0,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,0.0,0.0,0.0,2,5,0.0,10,11,1,1
116,51.0,1,999,0,1.4,93.918,-42.7,4.959,5228.1,999.0,0,1.0,0.0,0.0,2,4,0.0,8,7,1,1
117,31.0,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,1.0,0.0,0.0,2,8,0.0,6,11,1,1
118,50.0,2,999,0,-3.4,92.649,-30.1,0.722,5017.5,999.0,0,1.0,0.0,0.0,2,7,0.0,6,11,2,1
119,51.0,1,999,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,1.0,0.0,1.0,2,3,0.0,6,6,1,1
120,58.0,18,999,0,1.4,93.918,-42.7,4.962,5228.1,999.0,0,0.0,1.0,1.0,2,6,0.0,5,7,2,1
121,44.0,2,999,0,-3.4,92.431,-26.9,0.728,5017.5,999.0,0,0.0,1.0,0.0,2,8,0.0,5,10,1,1
122,24.0,10,999,0,1.4,93.918,-42.7,4.958,5228.1,999.0,0,0.0,0.0,1.0,1,8,0.0,5,7,1,1
123,50.0,3,999,0,1.4,93.444,-36.1,4.968,5228.1,999.0,0,0.0,1.0,0.0,2,5,0.0,6,8,1,1
124,49.0,1,3,1,-3.4,92.379,-29.8,0.788,5017.5,0.1,1,0.0,0.0,0.0,2,5,0.0,6,9,1,3
125,34.0,2,999,1,-2.9,92.201,-31.4,0.879,5076.2,999.0,3,1.0,0.0,0.0,2,5,0.0,4,8,1,2
126,39.0,2,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,3,8,0.0,3,5,1,1
127,31.0,4,999,0,1.1,93.994,-36.4,4.864,5191.0,999.0,0,0.0,0.0,1.0,1,8,0.0,4,5,1,1
128,39.0,1,999,0,-1.8,92.893,-46.2,1.281,5099.1,999.0,0,1.0,0.0,0.0,1,6,0.0,5,5,1,1
129,31.0,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,999.0,0,1.0,0.0,0.0,2,7,0.0,9,4,1,1
130,47.0,9,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0.0,0.0,0.0,1,7,0.0,6,8,1,1
131,31.0,2,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,1.0,0.0,1.0,1,5,0.0,6,5,1,1
132,31.0,2,999,1,-1.8,92.893,-46.2,1.344,5099.1,999.0,2,0.0,0.0,0.0,2,2,0.0,4,5,1,2
133,31.0,2,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,1.0,1.0,1,5,0.0,6,5,1,1
134,39.0,10,999,0,1.4,93.444,-36.1,4.962,5228.1,999.0,0,0.0,0.0,0.0,2,7,0.0,6,8,1,1
135,31.0,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,999.0,0,0.0,0.0,0.0,2,8,0.0,4,5,1,1
136,31.0,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,999.0,0,0.0,0.0,1.0,1,8,0.0,5,5,2,1
137,43.0,4,999,0,1.4,94.465,-41.8,4.864,5228.1,999.0,0,1.0,0.0,1.0,2,2,0.0,4,6,1,1
138,46.0,1,999,0,1.4,93.918,-42.7,4.963,5228.1,999.0,0,0.0,0.0,0.0,1,4,0.0,4,7,1,1
139,50.0,5,999,0,-1.8,92.893,-46.2,1.354,5099.1,999.0,0,1.0,0.0,1.0,2,4,0.0,7,5,2,1
140,31.0,6,999,0,1.4,93.444,-36.1,4.962,5228.1,999.0,0,0.0,0.0,0.0,2,7,0.0,6,8,1,1
141,42.0,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,0.0,0.0,0.0,1,8,0.0,7,11,1,1
142,31.0,1,999,0,1.4,94.465,-41.8,4.967,5228.1,999.0,0,1.0,1.0,1.0,2,8,0.0,5,6,1,1
143,29.0,1,999,1,-1.8,92.893,-46.2,1.344,5099.1,999.0,3,0.0,0.0,0.0,1,7,0.0,6,5,1,2
144,31.0,1,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,1.0,0.0,1.0,2,7,0.0,6,5,1,1
145,44.0,6,999,0,1.4,93.918,-42.7,4.957,5228.1,999.0,0,0.0,0.0,0.0,2,3,0.0,4,7,1,1
146,59.0,1,999,0,-1.8,93.876,-40.0,0.682,5008.7,999.0,0,1.0,0.0,0.0,3,2,0.0,6,5,1,1
147,31.0,1,999,0,1.4,93.918,-42.7,4.957,5228.1,999.0,0,1.0,0.0,0.0,1,8,0.0,9,7,1,1
148,40.0,1,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,1.0,0.0,0.0,2,6,0.0,5,8,1,1
149,39.0,1,999,0,1.1,93.994,-36.4,4.864,5191.0,999.0,0,1.0,0.0,1.0,2,7,0.0,6,5,1,1
150,31.0,1,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.0,1.0,1.0,2,4,0.0,4,5,1,1
151,41.0,12,999,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0.0,0.0,1.0,2,8,0.0,5,6,1,1
152,43.0,1,999,0,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,0.0,0.0,0.0,1,5,0.0,3,11,1,1
153,33.0,3,999,0,1.4,94.465,-41.8,4.958,5228.1,999.0,0,1.0,0.0,1.0,1,8,0.0,3,6,1,1
154,31.0,2,999,1,-1.8,93.075,-47.1,1.445,5099.1,999.0,1,0.0,0.0,0.0,2,2,0.0,4,4,1,2
155,45.0,9,999,0,1.4,94.465,-41.8,4.962,5228.1,999.0,0,0.0,0.0,1.0,2,7,0.0,7,6,1,1
156,30.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,4,0.0,3,5,1,1
157,25.0,1,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,1.0,0.0,1.0,1,8,0.0,4,6,1,1
158,31.0,4,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,1.0,0.0,1.0,1,4,0.0,4,5,1,1
159,35.0,1,999,0,-1.8,93.075,-47.1,1.41,5099.1,999.0,0,1.0,0.0,0.0,2,8,0.0,10,4,1,1
160,31.0,1,999,1,-1.7,94.215,-40.3,0.84,4991.6,999.0,1,1.0,0.0,0.0,1,5,0.0,6,7,1,2
161,49.0,1,999,2,-3.4,92.431,-26.9,0.754,5017.5,999.0,6,0.0,0.0,0.0,3,8,0.0,5,10,1,2
162,51.0,3,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,1.0,0.0,1.0,2,5,0.0,9,5,1,1
163,28.0,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,999.0,1,0.0,0.0,0.0,2,7,0.0,11,4,1,2
164,58.0,3,999,0,1.4,94.465,-41.8,4.958,5228.1,999.0,0,1.0,0.0,1.0,2,5,0.0,9,6,1,1
165,43.0,2,3,1,-2.9,92.963,-40.8,1.26,5076.2,0.1,5,1.0,0.0,0.0,2,7,0.0,6,6,1,3
166,31.0,3,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.0,1.0,1.0,2,4,0.0,4,5,1,1
167,31.0,3,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,1.0,1.0,0.0,1,7,0.0,6,8,1,1
168,28.0,1,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,1.0,0.0,1.0,1,7,0.0,6,5,1,1
169,42.0,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,1.0,0.0,0.0,3,8,0.0,6,11,2,1
170,34.0,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,1.0,0.0,0.0,2,6,0.0,5,4,1,1
171,27.0,1,999,0,1.4,93.918,-42.7,4.962,5228.1,999.0,0,0.0,0.0,0.0,1,5,0.0,6,7,1,1
172,35.0,1,999,0,1.1,93.994,-36.4,4.864,5191.0,999.0,0,0.0,0.0,1.0,2,7,0.0,6,5,1,1
173,42.0,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,1.0,0.0,0.0,2,8,0.0,5,11,1,1
174,31.0,1,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.0,0.0,1.0,2,8,0.0,6,6,2,1
175,39.0,3,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0.0,0.0,0.0,3,8,0.0,6,8,1,1
176,47.0,3,999,0,-1.8,92.893,-46.2,1.299,5099.1,999.0,0,1.0,0.0,0.0,1,8,0.0,6,5,1,1
177,28.0,3,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.0,0.0,1.0,2,8,0.0,6,5,1,1
178,38.0,1,999,0,1.4,93.918,-42.7,4.962,5228.1,999.0,0,1.0,1.0,0.0,2,8,0.0,4,7,1,1
179,56.0,1,999,0,-1.8,92.893,-46.2,1.313,5099.1,999.0,0,1.0,0.0,0.0,2,4,0.0,4,5,1,1
180,35.0,6,999,0,1.4,94.465,-41.8,4.864,5228.1,999.0,0,1.0,0.0,1.0,2,6,0.0,5,6,1,1
181,31.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,3,0.0,4,5,2,1
182,39.0,3,999,0,-1.8,92.893,-46.2,1.27,5099.1,999.0,0,1.0,0.0,0.0,1,5,0.0,6,5,1,1
183,33.0,3,4,1,-1.8,93.369,-34.8,0.655,5008.7,0.133333333333,2,1.0,0.0,0.0,2,7,0.0,6,3,1,3
184,31.0,1,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,1.0,0.0,0.0,2,7,0.0,6,8,1,1
185,58.0,3,999,0,1.4,93.444,-36.1,4.964,5228.1,999.0,0,1.0,0.0,0.0,2,2,0.0,8,8,1,1
186,29.0,1,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,1.0,0.0,1.0,1,8,0.0,9,5,2,1
187,45.0,1,999,0,1.4,93.918,-42.7,4.962,5228.1,999.0,0,0.0,0.0,0.0,2,6,0.0,5,7,1,1
188,30.0,1,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,1.0,0.0,0.0,2,7,0.0,6,8,1,1
189,41.0,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,1.0,0.0,0.0,2,8,0.0,6,11,2,1
190,30.0,2,999,0,1.4,94.465,-41.8,4.864,5228.1,999.0,0,1.0,0.0,1.0,1,5,0.0,6,6,1,1
191,31.0,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,1.0,0.0,0.0,2,8,0.0,5,11,2,1
192,37.0,2,999,1,-3.4,92.649,-30.1,0.715,5017.5,999.0,3,0.0,0.0,0.0,2,5,0.0,9,11,1,2
